instance_name,file_name,subtype,replicate,seed,nvars,ncons_requested,ncons_realized,eq_constraints,ineq_constraints,p_con_eq,var_threshold_lb,var_threshold_ub,p_var_is_candidate,p_var_bilin,p_var_diag,p_var_lin,coeff_lb,coeff_ub,force_diag_even,force_lin_even,force_bilin_even,force_feasibility,constraint_slack_range
random_bilinear_001,random_bilinear_001.lp,bilinear,1,10000,50,50,50,35,15,0.5,-10,10,0.2,0.2,0.0,0.0,-50,50,false,false,true,true,-5:5
random_bilinear_002,random_bilinear_002.lp,bilinear,2,10001,50,50,50,24,26,0.5,-10,10,0.2,0.2,0.0,0.0,-50,50,false,false,true,true,-5:5
random_bilinear_003,random_bilinear_003.lp,bilinear,3,10002,50,50,50,23,27,0.5,-10,10,0.2,0.2,0.0,0.0,-50,50,false,false,true,true,-5:5
random_bilinear_004,random_bilinear_004.lp,bilinear,4,10003,50,50,50,25,25,0.5,-10,10,0.2,0.2,0.0,0.0,-50,50,false,false,true,true,-5:5
random_bilinear_005,random_bilinear_005.lp,bilinear,5,10004,50,50,50,23,27,0.5,-10,10,0.2,0.2,0.0,0.0,-50,50,false,false,true,true,-5:5
random_bilinear_006,random_bilinear_006.lp,bilinear,6,10005,50,50,50,20,30,0.5,-10,10,0.2,0.2,0.0,0.0,-50,50,false,false,true,true,-5:5
random_bilinear_007,random_bilinear_007.lp,bilinear,7,10006,50,50,50,23,27,0.5,-10,10,0.2,0.2,0.0,0.0,-50,50,false,false,true,true,-5:5
random_bilinear_008,random_bilinear_008.lp,bilinear,8,10007,50,50,50,25,25,0.5,-10,10,0.2,0.2,0.0,0.0,-50,50,false,false,true,true,-5:5
random_bilinear_009,random_bilinear_009.lp,bilinear,9,10008,50,50,50,23,27,0.5,-10,10,0.2,0.2,0.0,0.0,-50,50,false,false,true,true,-5:5
random_bilinear_010,random_bilinear_010.lp,bilinear,10,10009,50,50,50,27,23,0.5,-10,10,0.2,0.2,0.0,0.0,-50,50,false,false,true,true,-5:5
random_bilinear_011,random_bilinear_011.lp,bilinear,11,10010,50,50,50,26,24,0.5,-10,10,0.2,0.2,0.0,0.0,-50,50,false,false,true,true,-5:5
random_bilinear_012,random_bilinear_012.lp,bilinear,12,10011,50,50,50,29,21,0.5,-10,10,0.2,0.2,0.0,0.0,-50,50,false,false,true,true,-5:5
random_bilinear_013,random_bilinear_013.lp,bilinear,13,10012,50,50,50,23,27,0.5,-10,10,0.2,0.2,0.0,0.0,-50,50,false,false,true,true,-5:5
