strategy,max_modulus,modulus_order,modulus,num_moduli,processed_constraints,improved_constraints,avg_relative_bound_tightening,strategy_time_sec,infeasibilities,modulus_evaluated_constraints,modulus_bound_tightened_constraints,modulus_lower_bound_tightenings,modulus_upper_bound_tightenings,modulus_infeasibilities
all_2_M,64,1,64,33,959,239,0.09750621285088425,5.251436948776245,0,959,160,120,120,0
all_2_M,64,2,63,33,959,239,0.09750621285088425,5.251436948776245,0,959,116,76,80,0
all_2_M,64,3,62,33,959,239,0.09750621285088425,5.251436948776245,0,959,37,26,23,0
all_2_M,64,4,61,33,959,239,0.09750621285088425,5.251436948776245,0,959,49,34,23,0
all_2_M,64,5,60,33,959,239,0.09750621285088425,5.251436948776245,0,959,30,16,19,0
all_2_M,64,6,59,33,959,239,0.09750621285088425,5.251436948776245,0,959,27,17,11,0
all_2_M,64,7,58,33,959,239,0.09750621285088425,5.251436948776245,0,959,17,10,8,0
all_2_M,64,8,57,33,959,239,0.09750621285088425,5.251436948776245,0,959,21,10,11,0
all_2_M,64,9,56,33,959,239,0.09750621285088425,5.251436948776245,0,959,10,6,5,0
all_2_M,64,10,55,33,959,239,0.09750621285088425,5.251436948776245,0,959,13,4,9,0
all_2_M,64,11,54,33,959,239,0.09750621285088425,5.251436948776245,0,959,8,5,3,0
all_2_M,64,12,53,33,959,239,0.09750621285088425,5.251436948776245,0,959,13,4,9,0
all_2_M,64,13,52,33,959,239,0.09750621285088425,5.251436948776245,0,959,6,4,4,0
all_2_M,64,14,51,33,959,239,0.09750621285088425,5.251436948776245,0,959,10,5,5,0
all_2_M,64,15,50,33,959,239,0.09750621285088425,5.251436948776245,0,959,7,6,4,0
all_2_M,64,16,49,33,959,239,0.09750621285088425,5.251436948776245,0,959,7,4,5,0
all_2_M,64,17,48,33,959,239,0.09750621285088425,5.251436948776245,0,959,3,1,2,0
all_2_M,64,18,47,33,959,239,0.09750621285088425,5.251436948776245,0,959,1,1,0,0
all_2_M,64,19,46,33,959,239,0.09750621285088425,5.251436948776245,0,959,3,2,2,0
all_2_M,64,20,45,33,959,239,0.09750621285088425,5.251436948776245,0,959,7,3,4,0
all_2_M,64,21,44,33,959,239,0.09750621285088425,5.251436948776245,0,959,0,0,0,0
all_2_M,64,22,43,33,959,239,0.09750621285088425,5.251436948776245,0,959,7,5,5,0
all_2_M,64,23,42,33,959,239,0.09750621285088425,5.251436948776245,0,959,0,0,0,0
all_2_M,64,24,41,33,959,239,0.09750621285088425,5.251436948776245,0,959,3,2,2,0
all_2_M,64,25,40,33,959,239,0.09750621285088425,5.251436948776245,0,959,2,2,0,0
all_2_M,64,26,39,33,959,239,0.09750621285088425,5.251436948776245,0,959,1,1,0,0
all_2_M,64,27,38,33,959,239,0.09750621285088425,5.251436948776245,0,959,0,0,0,0
all_2_M,64,28,37,33,959,239,0.09750621285088425,5.251436948776245,0,959,4,3,3,0
all_2_M,64,29,36,33,959,239,0.09750621285088425,5.251436948776245,0,959,0,0,0,0
all_2_M,64,30,35,33,959,239,0.09750621285088425,5.251436948776245,0,959,2,2,0,0
all_2_M,64,31,34,33,959,239,0.09750621285088425,5.251436948776245,0,959,0,0,0,0
all_2_M,64,32,33,33,959,239,0.09750621285088425,5.251436948776245,0,959,2,0,2,0
all_2_M,64,33,32,33,959,239,0.09750621285088425,5.251436948776245,0,959,0,0,0,0
