type,m,avg_b_fix,avg_b_pat,avg_dom_red,avg_time
bilinear,50,0,0,0,0.012987217903137206
bilinear,75,0,0,0,0.018998868465423584
bilinear,100,0,0,0,0.027843759059906006
bilinear,125,0,0,0,0.033425753116607664
bilinear,150,0,0,0,0.033692390918731691
bilinear,175,0,0,0,0.05279877424240112
separable,50,0.031285600419692652,0.017796929072013735,0.043003004829254871,0.009086592197418213
separable,75,0.075176680499651538,0.019584570236218343,0.089972550517537775,0.0066587185859680173
separable,100,0.88920424142038756,0.021727516776081441,0.91182184079755146,0.031012878417968751
separable,125,0.99338395090345077,0.00019031141868512111,0.99367175684019515,0.035720996856689453
separable,150,0.99325089299061942,9.959150326797386e-05,0.99358469578136255,0.04016195297241211
separable,175,0.99744023729148767,0,0.99747080927073295,0.051713337898254393
pure,50,0.019264792969101753,0.021548696976696039,0.032863547121606641,0.024302411079406738
pure,75,0.061212293111486377,0.033334655689881941,0.083024938887849731,0.044016237258911135
pure,100,0.91447957456499596,0.013890472471032778,0.92800994133947345,0.5713272786140442
pure,125,0.99479537325447009,6.9444444444444444e-05,0.99498576049517995,0.56146574735641475
pure,150,0.99822098999356512,0,0.99828066880093558,0.76016323566436772
pure,175,0.99877041809104639,0,0.9987993737762122,0.91872453927993769
general,50,0.013758833711125034,0.011196473536716732,0.020610840922907946,0.019152934551239013
general,75,0.044367305328760258,0.016069179480724779,0.055264123264269299,0.028584179878234865
general,100,0.88753702803091927,0.026199635793557684,0.91284360307957269,0.48553992033004761
general,125,0.99929908486419594,0,0.99933824477520472,0.63803843498229984
general,150,0.99936521400695189,0,0.99939399397060968,0.73686105489730835
general,175,0.99985294117647061,0,0.99985915195403496,0.87174111843109126
