type,m,avg_b_fix,avg_b_pat,avg_dom_red,avg_time
bilinear,50,0.014668594651579683,0.0044924842408224069,0.017566722311563098,0.026108882427215575
bilinear,75,0.045566287310662229,0.0041066737710146618,0.048074102302994873,0.032321760654449465
bilinear,100,0.067567615725437111,0.0015691527863414989,0.06841719650747409,0.046862013339996338
bilinear,125,0.1506256548360731,0.00051572707224911511,0.15104623780040602,0.053708684444427487
bilinear,150,0.13185037476353265,0.00076303728545552732,0.13245897446972441,0.05658708333969116
bilinear,175,0.11130345045738284,0.00095067443704490101,0.11201842193994549,0.078479208946228021
separable,50,0.035245027844191756,0.016965296920704868,0.046503735600151967,0.0038519430160522459
separable,75,0.083015337849319387,0.017214962737503309,0.095905498949240137,0.0065825533866882323
separable,100,0.96814191560164753,0.005253902933283097,0.97356642787232206,0.031386680603027343
separable,125,0.99338395090345077,0.00019031141868512111,0.99367175684019515,0.035018782615661624
separable,150,0.99325089299061942,9.959150326797386e-05,0.99358469578136255,0.039165527820587159
separable,175,0.99744023729148767,0,0.99747080927073295,0.051944749355316164
pure,50,0.0073887078828613791,0.0027983001027779559,0.0094064415444954728,0.024437034130096437
pure,75,0.035514549327816641,0.003029302130310343,0.037653041639344645,0.033858766555786131
pure,100,0.091560033110470784,0.0014819155002863407,0.0926730081113218,0.045371782779693601
pure,125,0.13621270866936658,0.0011458026790775015,0.13707931543587645,0.051965582370758059
pure,150,0.089325032254661318,0.001433290146862509,0.090173782774696787,0.062927267551422125
pure,175,0.13029995184766618,0.0011376769402508724,0.13114988815426501,0.082218513488769532
general,50,0.0085020307913900254,0.005056108911358069,0.011505144625224116,0.021476361751556396
general,75,0.024597258322258828,0.0053343253346787465,0.028090278938686177,0.032621912956237793
general,100,0.089918501643259319,0.0030243359064685183,0.091515879453025917,0.046522099971771237
general,125,0.06090276323241034,0.0016893333845719597,0.06185806804788941,0.055763828754425052
general,150,0.13062530766800776,0.0020434353460881197,0.13186963903329263,0.068377275466918949
general,175,0.090084437579543139,0.00045567564988728863,0.090367352937769249,0.081567878723144527
