type,m,avg_b_fix,avg_b_pat,avg_dom_red,avg_time
bilinear,50,0.014668594651579683,0.0044924842408224069,0.017566722311563098,0.025448150634765625
bilinear,75,0.044329728170877283,0.0043486092548856298,0.046998731768011032,0.032168195247650147
bilinear,100,0.067079334475437111,0.0019793090363414991,0.068184164741242559,0.044057028293609621
bilinear,125,0.15047452133481365,0.00061648273975541243,0.15093316014625022,0.056480298042297365
bilinear,150,0.13180262453396424,0.00076303728545552732,0.13239827036165247,0.0549763822555542
bilinear,175,0.11130345045738284,0.00095067443704490101,0.11201842193994549,0.08084244012832642
separable,50,0.033542214699133016,0.016891007690755418,0.044690236766159519,0.003801407814025879
separable,75,0.076548991695473217,0.019570731968272539,0.091398661710827972,0.0064744877815246585
separable,100,0.96056217826581269,0.0066422706631142411,0.96743902274158078,0.031434044837951661
separable,125,0.99338395090345077,0.00019031141868512111,0.99367175684019515,0.034999713897705079
separable,150,0.99325089299061942,9.959150326797386e-05,0.99358469578136255,0.039379353523254397
separable,175,0.99744023729148767,0,0.99747080927073295,0.051934065818786623
pure,50,0.0073272324730253146,0.0027983001027779559,0.0093416137616340791,0.02144174575805664
pure,75,0.033851304974633886,0.0033989119865731766,0.036238082716862248,0.032366063594818112
pure,100,0.091560033110470784,0.0014819155002863407,0.0926730081113218,0.042673959732055664
pure,125,0.12648626490036963,0.001601729730749234,0.12764893477500028,0.050382308959960938
pure,150,0.089180453941408319,0.0013850973757781714,0.089973365685436887,0.06408859968185425
pure,175,0.13027987152638104,0.0011376769402508724,0.13112786174424601,0.080002830028533936
general,50,0.0082736419000866233,0.0051891003494909738,0.011356645845802727,0.023434460163116455
general,75,0.024319480544481048,0.0052549602553136673,0.027690427284049718,0.030619912147521973
general,100,0.089918501643259319,0.0030243359064685183,0.091515879453025917,0.043438262939453125
general,125,0.06090276323241034,0.0016893333845719597,0.06185806804788941,0.053732256889343265
general,150,0.13058115755763247,0.0020213602909004815,0.13179591653184203,0.066183869838714604
general,175,0.090084437579543139,0.00045567564988728863,0.090367352937769249,0.081540319919586185
