type,m,avg_b_fix,avg_b_pat,avg_dom_red,avg_time
bilinear,50,0.014668594651579683,0.0044924842408224069,0.017566722311563098,0.02729862689971924
bilinear,75,0.045566287310662229,0.0041066737710146618,0.048074102302994873,0.032203886508941654
bilinear,100,0.067567615725437111,0.0015691527863414989,0.06841719650747409,0.047610328197479249
bilinear,125,0.1506256548360731,0.00051572707224911511,0.15104623780040602,0.054167928695678713
bilinear,150,0.13185037476353265,0.00076303728545552732,0.13245897446972441,0.057308642864227294
bilinear,175,0.11130345045738284,0.00095067443704490101,0.11201842193994549,0.07879940509796142
separable,50,0.035245027844191756,0.016965296920704868,0.046503735600151967,0.0038515329360961914
separable,75,0.083015337849319387,0.017214962737503309,0.095905498949240137,0.0066034078598022463
separable,100,0.96814191560164753,0.005253902933283097,0.97356642787232206,0.031483221054077151
separable,125,0.99338395090345077,0.00019031141868512111,0.99367175684019515,0.035143597126007078
separable,150,0.99325089299061942,9.959150326797386e-05,0.99358469578136255,0.039495449066162112
separable,175,0.99744023729148767,0,0.99747080927073295,0.052378387451171876
pure,50,0.023207281854890675,0.022320704864952957,0.037484882759621002,0.036653912067413329
pure,75,0.065328639436444472,0.033112394822341254,0.087267317030930658,0.05975587844848633
pure,100,0.98068246017811089,0.0032307973377009003,0.98416738760155797,0.5087638878822327
pure,125,0.99515176738444922,6.9444444444444444e-05,0.99535839995542608,0.5521964430809021
pure,150,0.99822098999356512,0,0.99828066880093558,0.75040663719177247
pure,175,0.99877041809104639,0,0.9987993737762122,0.90208215713500972
general,50,0.014577002160222816,0.011337722386720438,0.021594352580559403,0.02025949239730835
general,75,0.056383285625700462,0.015089770673152474,0.066488842557043681,0.029389560222625732
general,100,0.98868660995749769,0.0035968379446640313,0.99183999363756792,0.51379864931106567
general,125,0.99929908486419594,0,0.99933824477520472,0.62201224327087401
general,150,0.99936521400695189,0,0.99939399397060968,0.72064682722091677
general,175,0.99985294117647061,0,0.99985915195403496,0.83384290695190433
