# sweep_config: n_min=3 n_max=150 step=5 ninstances=50 R=100 pH2=0.5 seed_base=17
nvertices,total_edges,avg_domain_before,avg_domain_after,avg_log_domain_before,avg_log_domain_after,avg_presolve_runtime_sec,solved_fraction,n_instances,n_errors
3,3,517.520000,214.320000,19.182255,15.968949,0.112684,0.000,50,0
8,13,3126.200000,1193.360000,74.296892,61.894816,0.001455,0.000,50,0
13,23,6689.360000,2495.160000,132.205462,110.547285,0.001865,0.000,50,0
18,33,9980.360000,3671.360000,189.058461,157.098685,0.002857,0.000,50,0
23,43,13890.720000,5191.520000,248.177850,208.154876,0.003738,0.000,50,0
28,53,17987.040000,6731.960000,307.522049,258.690812,0.004912,0.000,50,0
33,63,21375.360000,8034.340000,364.322117,305.524642,0.006992,0.000,50,0
38,73,25613.720000,9447.640000,423.943618,355.044927,0.008468,0.000,50,0
43,83,30796.040000,11349.960000,487.057487,408.706969,0.010272,0.000,50,0
48,93,34896.000000,12893.780000,545.693065,456.737328,0.014071,0.000,50,0
53,103,40204.800000,14918.480000,608.455410,511.200084,0.015948,0.000,50,0
58,113,45955.760000,17177.280000,672.178175,566.679706,0.020374,0.000,50,0
63,123,51134.120000,18737.040000,734.759463,617.451541,0.024267,0.000,50,0
68,133,52858.840000,19626.520000,786.610999,661.004345,0.026272,0.000,50,0
73,143,59519.080000,22106.040000,853.161000,718.586257,0.030177,0.000,50,0
78,153,64175.714286,23445.448980,914.254531,766.624727,0.038902,0.000,50,1
83,163,70390.560000,26335.460000,978.785543,826.939508,0.044076,0.000,50,0
88,173,75867.120000,28111.960000,1040.280361,877.288066,0.048091,0.000,50,0
93,183,80843.480000,29809.220000,1102.797341,928.670165,0.051651,0.000,50,0
98,193,85988.897959,30927.020408,1163.365468,975.092303,0.065259,0.000,50,1
103,203,92888.583333,35044.770833,1229.679644,1041.481324,0.070406,0.000,50,2
108,213,93253.591837,34615.612245,1280.257750,1078.402548,0.078949,0.000,50,1
113,223,102078.160000,37222.860000,1350.945416,1136.065251,0.089177,0.000,50,0
118,233,106725.755102,39044.387755,1411.725037,1187.130265,0.099880,0.000,50,1
123,243,112877.040000,41444.500000,1476.200379,1244.197084,0.109103,0.000,50,0
128,253,120176.382979,44338.297872,1542.863315,1300.715869,0.125174,0.000,50,3
133,263,121841.440000,44761.560000,1596.029072,1343.484791,0.132459,0.000,50,0
138,273,129312.416667,47505.770833,1664.590951,1401.784284,0.152634,0.000,50,2
143,283,135192.875000,49693.312500,1726.809325,1454.822715,0.166426,0.000,50,2
