# sweep_config: nvertices=20 ninstances=5 base_edges=37 max_extra_edges=153 step=2 R=20 pH2=0.5 seed_base=17
extra_edges,total_edges,avg_domain_before,avg_domain_after,avg_log_domain_before,avg_log_domain_after,avg_presolve_runtime_sec,solved_fraction,n_instances,n_errors
0,37,2080.000000,811.600000,147.268600,113.820581,1.124692,0.000,5,0
2,39,2618.000000,1073.200000,156.871152,124.512917,0.004770,0.000,5,0
4,41,2234.800000,784.000000,150.237729,113.617134,0.004848,0.000,5,0
6,43,2315.200000,843.200000,150.813039,116.571344,0.008195,0.000,5,0
8,45,2446.000000,806.800000,153.275757,115.616450,0.003282,0.000,5,0
10,47,2502.400000,926.800000,155.970470,119.713281,0.004290,0.000,5,0
12,49,2581.200000,849.600000,156.953393,116.839405,0.005948,0.000,5,0
14,51,2369.600000,778.800000,153.487346,112.603434,0.005225,0.000,5,0
16,53,2196.000000,717.600000,149.886954,107.528539,0.004708,0.000,5,0
18,55,2423.200000,696.800000,154.356597,111.025632,0.004657,0.000,5,0
20,57,2572.400000,784.800000,155.879101,114.214482,0.029951,0.000,5,0
22,59,2351.600000,702.400000,152.907622,111.442556,0.003966,0.000,5,0
24,61,2453.600000,675.200000,152.555338,107.589085,0.004145,0.000,5,0
26,63,2622.800000,731.600000,157.261870,111.365031,0.004671,0.000,5,0
28,65,2414.800000,648.800000,153.572161,110.067706,0.005039,0.000,5,0
30,67,2383.600000,609.200000,153.656868,107.202502,0.006961,0.000,5,0
32,69,1973.600000,537.200000,143.620463,100.147469,0.004457,0.000,5,0
34,71,2334.800000,592.000000,152.789620,104.747378,0.005369,0.000,5,0
36,73,2075.200000,550.800000,147.552220,100.189871,0.008247,0.000,5,0
38,75,2584.000000,666.800000,157.247424,109.952220,0.007140,0.000,5,0
40,77,2460.000000,647.600000,154.348521,109.282212,0.006874,0.000,5,0
42,79,2250.000000,531.200000,150.801683,101.718616,0.006541,0.000,5,0
44,81,2167.600000,529.200000,148.680083,100.555634,0.005807,0.000,5,0
46,83,2098.800000,583.200000,148.394731,102.613431,0.004697,0.000,5,0
48,85,2264.400000,540.400000,151.995377,103.598918,0.008177,0.000,5,0
50,87,2365.200000,572.400000,153.316026,104.558327,0.007770,0.000,5,0
52,89,2259.200000,521.200000,151.501369,101.371840,0.008925,0.000,5,0
54,91,2462.800000,588.000000,154.081245,105.645495,0.006875,0.000,5,0
56,93,2294.000000,540.000000,151.445365,101.812997,0.008266,0.000,5,0
58,95,2320.000000,537.200000,152.292939,102.006272,0.006629,0.000,5,0
60,97,2309.600000,569.600000,152.076064,103.288591,0.007660,0.000,5,0
62,99,2505.600000,627.600000,154.671470,106.430203,0.005032,0.000,5,0
64,101,2152.800000,519.600000,147.526040,98.424665,0.007569,0.000,5,0
66,103,2709.200000,616.800000,159.814627,109.028136,0.007553,0.000,5,0
68,105,2026.000000,504.400000,146.629669,99.567876,0.006758,0.000,5,0
70,107,2220.800000,526.800000,149.484966,99.730353,0.008235,0.000,5,0
72,109,2462.400000,548.000000,155.370920,104.056278,0.006787,0.000,5,0
74,111,2391.200000,502.000000,153.675225,101.202776,0.008215,0.000,5,0
76,113,2590.000000,570.800000,155.634425,103.553648,0.008199,0.000,5,0
78,115,2586.800000,543.600000,156.486079,102.749839,0.009538,0.000,5,0
80,117,2190.800000,490.000000,149.893072,99.296780,0.008346,0.000,5,0
82,119,2051.600000,482.800000,146.902188,96.094408,0.010762,0.000,5,0
84,121,2320.000000,519.600000,151.075747,98.766659,0.009963,0.000,5,0
86,123,2686.400000,597.200000,158.378308,106.712274,0.010723,0.000,5,0
88,125,2020.000000,501.200000,146.613020,97.672053,0.009563,0.000,5,0
90,127,1974.800000,465.600000,145.988223,97.180770,0.009923,0.000,5,0
92,129,2375.200000,486.800000,153.181667,98.652732,0.010615,0.000,5,0
94,131,2325.200000,478.400000,152.976804,99.569654,0.012976,0.000,5,0
96,133,2502.000000,580.000000,155.181507,103.976146,0.009197,0.000,5,0
98,135,2220.400000,513.600000,150.172818,101.056730,0.008885,0.000,5,0
100,137,2513.200000,538.800000,154.898393,103.011939,0.010920,0.000,5,0
102,139,2356.400000,534.400000,151.573195,102.170517,0.009109,0.000,5,0
104,141,2389.600000,538.000000,153.176051,102.040399,0.011361,0.000,5,0
106,143,2066.800000,464.000000,147.374502,95.624945,0.010785,0.000,5,0
108,145,2644.000000,583.600000,157.596681,105.848734,0.009993,0.000,5,0
110,147,2497.600000,503.200000,154.588048,100.621739,0.011413,0.000,5,0
112,149,2194.000000,455.200000,149.030617,94.891046,0.014791,0.000,5,0
114,151,2168.400000,469.600000,150.074916,98.378276,0.012214,0.000,5,0
116,153,2381.200000,486.800000,154.071231,99.012843,0.011214,0.000,5,0
118,155,2501.200000,502.000000,154.242123,98.124192,0.012261,0.000,5,0
120,157,2584.400000,582.000000,156.434648,106.663740,0.012582,0.000,5,0
122,159,2114.800000,413.200000,147.294865,93.123118,0.014001,0.000,5,0
124,161,2554.400000,537.600000,154.895006,99.586521,0.012218,0.000,5,0
126,163,2244.400000,498.400000,150.120291,98.132573,0.012050,0.000,5,0
128,165,2319.200000,501.600000,151.884320,99.533578,0.010282,0.000,5,0
130,167,2450.800000,519.200000,154.133412,101.842222,0.011438,0.000,5,0
132,169,2188.000000,444.000000,148.511291,92.445137,0.014149,0.000,5,0
134,171,2534.800000,562.800000,156.143440,103.569338,0.012992,0.000,5,0
136,173,2293.600000,493.200000,150.631610,95.966064,0.012641,0.000,5,0
138,175,2362.000000,490.800000,152.887154,101.454962,0.012254,0.000,5,0
140,177,2302.800000,441.600000,151.275947,96.775397,0.019031,0.000,5,0
142,179,2772.000000,551.600000,158.520834,103.454938,0.014539,0.000,5,0
144,181,2288.000000,466.000000,151.051255,97.203555,0.012608,0.000,5,0
146,183,2311.600000,512.800000,151.491124,99.817724,0.013041,0.000,5,0
148,185,2266.400000,475.600000,149.834502,94.398620,0.014221,0.000,5,0
150,187,2344.800000,464.000000,152.533581,97.991396,0.017815,0.000,5,0
152,189,2597.200000,551.600000,157.147161,104.224105,0.012724,0.000,5,0
