# sweep_config: nvars=50 ninstances=10 step=5 max_constraints=150 seed_base=19
m,avg_domain_before,avg_domain_after,avg_log_domain_before,avg_log_domain_after,avg_presolve_runtime_sec,solved_fraction,n_instances,n_errors
5,100.000000,98.000000,34.657359,33.964212,0.528092,0.000,10,0
10,100.000000,98.000000,34.657359,33.964212,0.000839,0.000,10,0
15,100.000000,97.600000,34.657359,33.825582,0.002885,0.000,10,0
20,100.000000,98.000000,34.657359,33.964212,0.000875,0.000,10,0
25,100.000000,97.600000,34.657359,33.825582,0.001347,0.000,10,0
30,100.000000,98.000000,34.657359,33.964212,0.001264,0.000,10,0
35,100.000000,97.600000,34.657359,33.825582,0.001500,0.000,10,0
40,100.000000,96.400000,34.657359,33.409694,0.002889,0.000,10,0
45,100.000000,97.200000,34.657359,33.686953,0.001796,0.000,10,0
50,100.000000,95.400000,34.657359,33.063121,0.002289,0.000,10,0
55,100.000000,97.200000,34.657359,33.686953,0.002230,0.000,10,0
60,100.000000,97.000000,34.657359,33.617638,0.002474,0.000,10,0
65,100.000000,95.200000,34.657359,32.993806,0.002779,0.000,10,0
70,100.000000,96.800000,34.657359,33.548324,0.003149,0.000,10,0
75,100.000000,96.400000,34.657359,33.409694,0.003131,0.000,10,0
80,100.000000,96.800000,34.657359,33.548324,0.003089,0.000,10,0
85,100.000000,97.200000,34.657359,33.686953,0.004429,0.000,10,0
90,100.000000,95.400000,34.657359,33.063121,0.003891,0.000,10,0
95,100.000000,97.200000,34.657359,33.686953,0.003700,0.000,10,0
100,100.000000,94.800000,34.657359,32.855176,0.004671,0.000,10,0
105,100.000000,96.200000,34.657359,33.340379,0.004407,0.000,10,0
110,100.000000,93.600000,34.657359,32.439288,0.005798,0.000,10,0
115,100.000000,95.600000,34.657359,33.132435,0.004813,0.000,10,0
120,100.000000,95.800000,34.657359,33.201750,0.006177,0.000,10,0
125,100.000000,93.400000,34.657359,32.369973,0.005335,0.000,10,0
130,100.000000,95.200000,34.657359,32.993806,0.006032,0.000,10,0
135,100.000000,95.400000,34.657359,33.063121,0.006753,0.000,10,0
140,100.000000,96.400000,34.657359,33.409694,0.006238,0.000,10,0
145,100.000000,95.200000,34.657359,32.993806,0.007190,0.000,10,0
150,100.000000,93.600000,34.657359,32.439288,0.006364,0.000,10,0
