instance_name,type,num,created_at,n,R,seed,num_anchors,alpha,edge_density,pH2,max_coord_tries,max_tries_H2,infeas_strategy,infeas_base,box_scale
con_1,2_connected,1,2026-08-18T22:41:22,20,100,1,0,0.0,0.2,,10000,,,,
con_2,2_connected,2,2026-08-18T22:41:23,20,100,2,0,0.0,0.2,,10000,,,,
con_3,2_connected,3,2026-08-18T22:41:23,20,100,3,0,0.0,0.2,,10000,,,,
con_4,2_connected,4,2026-08-18T22:41:23,20,100,4,0,0.0,0.2,,10000,,,,
con_5,2_connected,5,2026-08-18T22:41:23,20,100,5,0,0.0,0.2,,10000,,,,
con_6,2_connected,6,2026-08-18T22:41:23,20,100,6,0,0.0,0.2,,10000,,,,
con_7,2_connected,7,2026-08-18T22:41:23,20,100,7,0,0.0,0.2,,10000,,,,
con_8,2_connected,8,2026-08-18T22:41:23,20,100,8,0,0.0,0.2,,10000,,,,
con_9,2_connected,9,2026-08-18T22:41:23,20,100,9,0,0.0,0.2,,10000,,,,
con_10,2_connected,10,2026-08-18T22:41:23,20,100,10,0,0.0,0.2,,10000,,,,
con_11,2_connected,11,2026-08-18T22:41:24,100,100,11,0,0.0,0.1,,10000,,,,
con_12,2_connected,12,2026-08-18T22:41:24,100,100,12,0,0.0,0.1,,10000,,,,
con_13,2_connected,13,2026-08-18T22:41:24,100,100,13,0,0.0,0.1,,10000,,,,
con_14,2_connected,14,2026-08-18T22:41:24,100,100,14,0,0.0,0.1,,10000,,,,
con_15,2_connected,15,2026-08-18T22:41:24,100,100,15,0,0.0,0.1,,10000,,,,
con_16,2_connected,16,2026-08-18T22:41:24,100,100,16,0,0.0,0.1,,10000,,,,
con_17,2_connected,17,2026-08-18T22:41:24,100,100,17,0,0.0,0.1,,10000,,,,
con_18,2_connected,18,2026-08-18T22:41:24,100,100,18,0,0.0,0.1,,10000,,,,
con_19,2_connected,19,2026-08-18T22:41:24,100,100,19,0,0.0,0.1,,10000,,,,
con_20,2_connected,20,2026-08-18T22:41:24,100,100,20,0,0.0,0.1,,10000,,,,
con_21,2_connected,21,2026-08-18T22:41:24,20,100,21,3,0.0,0.2,,10000,,,,
con_22,2_connected,22,2026-08-18T22:41:24,20,100,22,3,0.0,0.2,,10000,,,,
con_23,2_connected,23,2026-08-18T22:41:24,20,100,23,3,0.0,0.2,,10000,,,,
con_24,2_connected,24,2026-08-18T22:41:24,20,100,24,3,0.0,0.2,,10000,,,,
con_25,2_connected,25,2026-08-18T22:41:24,20,100,25,3,0.0,0.2,,10000,,,,
con_26,2_connected,26,2026-08-18T22:41:24,20,100,26,3,0.0,0.2,,10000,,,,
con_27,2_connected,27,2026-08-18T22:41:24,20,100,27,3,0.0,0.2,,10000,,,,
con_28,2_connected,28,2026-08-18T22:41:24,20,100,28,3,0.0,0.2,,10000,,,,
con_29,2_connected,29,2026-08-18T22:41:24,20,100,29,3,0.0,0.2,,10000,,,,
con_30,2_connected,30,2026-08-18T22:41:24,20,100,30,3,0.0,0.2,,10000,,,,
con_31,2_connected,31,2026-08-18T22:41:24,100,100,31,3,0.0,0.1,,10000,,,,
con_32,2_connected,32,2026-08-18T22:41:24,100,100,32,3,0.0,0.1,,10000,,,,
con_33,2_connected,33,2026-08-18T22:41:24,100,100,33,3,0.0,0.1,,10000,,,,
con_34,2_connected,34,2026-08-18T22:41:24,100,100,34,3,0.0,0.1,,10000,,,,
con_35,2_connected,35,2026-08-18T22:41:24,100,100,35,3,0.0,0.1,,10000,,,,
con_36,2_connected,36,2026-08-18T22:41:24,100,100,36,3,0.0,0.1,,10000,,,,
con_37,2_connected,37,2026-08-18T22:41:24,100,100,37,3,0.0,0.1,,10000,,,,
con_38,2_connected,38,2026-08-18T22:41:24,100,100,38,3,0.0,0.1,,10000,,,,
con_39,2_connected,39,2026-08-18T22:41:24,100,100,39,3,0.0,0.1,,10000,,,,
con_40,2_connected,40,2026-08-18T22:41:24,100,100,40,3,0.0,0.1,,10000,,,,
con_41,2_connected,41,2026-08-18T22:41:25,20,100,41,0,0.01,0.2,,10000,,,,
con_42,2_connected,42,2026-08-18T22:41:25,20,100,42,0,0.01,0.2,,10000,,,,
con_43,2_connected,43,2026-08-18T22:41:25,20,100,43,0,0.01,0.2,,10000,,,,
con_44,2_connected,44,2026-08-18T22:41:25,20,100,44,0,0.01,0.2,,10000,,,,
