type,n,R,num_anchors,alpha,edge_density,infeas_strategy,infeas_base,box_scale,num_instances,log_domain_sum_orig,log_domain_sum_ps,relative_log_domain_reduction_percent,num_quadratic_constraints_orig,num_quadratic_constraints_ps,num_linear_constraints_orig,num_linear_constraints_ps,parity_presolve_time,residue_presolve_time,num_parity_substitutions,num_pattern_substitutions,num_variables_fixed,num_constraints_tightened,num_constraints_eq_tightened,avg_relative_bound_tightening_percent,infeasibility_detected_count,infeasibility_source_elimination_count,infeasibility_source_propagation_count,infeasibility_source_residue_count
2_connected,20,100,0,0.0,0.2,,,,10,296.146,230.254,22.25,73.0,66.5,5.0,111.4,0.683,0.787,80.1,58.5,2.3,5.4,0.0,0.0,0,0,0,0
2_connected,100,100,0,0.0,0.1,,,,10,1533.311,1075.394,29.865,684.0,669.8,5.0,744.1,2.357,1.832,530.7,396.2,24.5,34.9,0.0,0.0,0,0,0,0
2_connected,20,100,3,0.0,0.2,,,,10,247.471,21.359,91.369,111.0,11.3,6.0,1.2,0.707,0.024,230.1,22.8,35.5,3.3,0.0,0.783,0,0,0,0
2_connected,100,100,3,0.0,0.1,,,,10,1393.089,3.825,99.725,882.0,3.2,6.0,0.0,1.297,0.0,1372.4,137.3,209.7,0.6,0.0,0.0,0,0,0,0
2_connected,20,100,0,0.01,0.2,,,,10,303.352,300.89,0.811,127.0,66.7,5.0,2.2,0.06,0.725,0.8,0.6,0.0,56.1,0.4,4.412,0,0,0,0
2_connected,100,100,0,0.01,0.1,,,,10,1557.193,1548.464,0.561,1269.0,669.4,5.0,29.0,0.439,9.288,14.0,14.0,0.0,556.4,3.4,4.963,0,0,0,0
2_connected,20,100,3,0.01,0.2,,,,10,249.212,248.576,0.255,165.0,89.1,6.0,2.4,0.085,0.578,1.4,1.2,0.0,68.6,0.1,4.649,0,0,0,0
2_connected,100,100,3,0.01,0.1,,,,10,1414.181,1405.476,0.616,1467.0,838.7,6.0,35.4,0.629,8.362,18.0,17.8,0.1,650.9,2.8,5.338,0,0,0,0
laman,20,100,0,0.0,,,,,10,301.841,252.089,16.483,56.0,50.7,5.0,88.2,0.307,0.414,62.4,44.4,0.8,6.6,0.0,0.0,0,0,0,0
laman,100,100,0,0.0,,,,,10,1713.783,1431.862,16.45,296.0,288.7,5.0,488.2,0.843,2.213,348.5,257.5,12.0,49.4,0.0,0.0,0,0,0,0
