# sweep_config: nvertices=50 ninstances=50 base_edges=50 max_extra_edges=1175 step=5 R=100 seed_base=17
extra_edges,total_edges,avg_domain_before,avg_domain_after,avg_log_domain_before,avg_log_domain_after,avg_presolve_runtime_sec,solved_fraction,n_instances,n_errors
0,50,250078.480000,108328.360000,744.571176,680.280717,0.130776,0.000,50,0
5,55,114045.480000,48251.520000,676.008677,609.149774,0.006328,0.000,50,0
10,60,79491.480000,33874.200000,643.747410,576.115093,0.006973,0.000,50,0
15,65,66283.400000,27625.920000,626.310131,554.030564,0.007795,0.000,50,0
20,70,57113.600000,23455.560000,611.650122,537.176159,0.006822,0.000,50,0
25,75,52243.880000,21516.180000,603.313536,527.506124,0.008333,0.000,50,0
30,80,49273.240000,19639.520000,598.250660,519.458256,0.009151,0.000,50,0
35,85,45677.120000,17847.480000,591.834668,508.103210,0.010820,0.000,50,0
40,90,44549.280000,17013.940000,589.090855,502.773079,0.012134,0.000,50,0
45,95,41027.760000,15563.440000,580.881594,492.474507,0.012573,0.000,50,0
50,100,38353.920000,14121.140000,573.336205,481.397998,0.013003,0.000,50,0
55,105,37194.240000,12928.960000,572.590155,473.953936,0.013460,0.000,50,0
60,110,34758.625000,11309.125000,564.534439,458.800506,0.016773,0.000,50,2
65,115,35443.166667,11598.812500,567.487017,462.090983,0.015898,0.000,50,2
70,120,32807.959184,9947.836735,559.423078,446.398501,0.015479,0.000,50,1
75,125,33838.875000,9669.437500,563.049339,444.794627,0.019406,0.000,50,2
80,130,31392.285714,8839.306122,554.881617,434.830548,0.020222,0.000,50,1
85,135,31169.142857,8736.693878,554.949839,435.654013,0.017870,0.000,50,1
90,140,30057.826087,7945.304348,550.908427,426.056970,0.019882,0.000,50,4
95,145,28991.416667,7670.979167,547.650840,423.167200,0.020159,0.000,50,2
100,150,29509.320000,7476.400000,550.024233,421.039047,0.020407,0.000,50,0
105,155,28175.120000,6977.560000,544.852581,414.498897,0.020776,0.000,50,0
110,160,28216.680000,6954.500000,545.534419,414.691608,0.019933,0.000,50,0
115,165,27542.081633,6664.265306,542.846143,410.184262,0.020346,0.000,50,1
120,170,26204.250000,6179.270833,537.980509,402.816585,0.020819,0.000,50,2
125,175,26222.571429,6040.591837,538.499799,402.112497,0.021218,0.000,50,1
130,180,26611.520000,6036.040000,539.606117,402.164024,0.022097,0.000,50,0
135,185,25689.916667,5768.770833,535.823539,398.268468,0.020941,0.000,50,2
140,190,25032.541667,5537.958333,533.874508,393.408762,0.022424,0.000,50,2
145,195,25390.040816,5707.367347,535.076304,395.575029,0.023629,0.000,50,1
150,200,24150.040816,5277.673469,530.329555,390.362900,0.023553,0.000,50,1
