# sweep_config: nvertices=50 ninstances=50 base_edges=97 max_extra_edges=1128 step=5 R=100 pH2=0.5 seed_base=17
extra_edges,total_edges,avg_domain_before,avg_domain_after,avg_log_domain_before,avg_log_domain_after,avg_presolve_runtime_sec,solved_fraction,n_instances,n_errors
0,97,37668.816327,14023.693878,572.707762,481.836485,0.130570,0.000,50,1
5,102,37800.653061,13403.346939,573.313126,477.168943,0.013810,0.000,50,1
10,107,37248.122449,12690.387755,571.711851,471.141654,0.013620,0.000,50,1
15,112,37824.360000,12360.500000,572.939066,468.007072,0.014040,0.000,50,0
20,117,37513.960000,11695.180000,572.191319,462.796086,0.015583,0.000,50,0
25,122,37241.000000,11190.640000,571.770955,458.332978,0.015003,0.000,50,0
30,127,37111.666667,10922.687500,570.706213,455.682930,0.015416,0.000,50,2
35,132,37580.625000,10820.375000,571.921399,454.459293,0.015542,0.000,50,2
40,137,38181.714286,10477.489796,574.613619,452.866783,0.016889,0.000,50,1
45,142,38049.800000,10138.480000,574.243520,448.988559,0.018402,0.000,50,0
50,147,37720.897959,9559.551020,573.184009,445.215060,0.018523,0.000,50,1
55,152,36418.520000,9168.680000,568.354460,439.334273,0.020121,0.000,50,0
60,157,37089.061224,9207.224490,571.374061,440.718626,0.019550,0.000,50,1
65,162,38009.440000,9274.000000,573.414408,441.378490,0.018931,0.000,50,0
70,167,37466.347826,8918.043478,572.494664,439.461504,0.019016,0.000,50,4
75,172,37569.510204,8782.897959,572.314190,436.669709,0.021627,0.000,50,1
80,177,37799.632653,8750.224490,573.478691,437.696021,0.019797,0.000,50,1
85,182,36914.734694,8369.102041,570.885464,433.010111,0.021720,0.000,50,1
90,187,37332.560000,8370.040000,571.445472,431.631788,0.024735,0.000,50,0
95,192,38994.638298,8804.553191,576.793006,438.686678,0.021665,0.000,50,3
100,197,37480.600000,8358.820000,572.010103,432.970944,0.021363,0.000,50,0
105,202,38260.530612,8429.530612,574.253330,434.426598,0.022174,0.000,50,1
110,207,38331.755102,8320.367347,574.064794,432.981893,0.025146,0.000,50,1
115,212,37637.702128,7901.914894,572.603012,427.823929,0.027161,0.000,50,3
120,217,36865.755102,7908.040816,570.177219,427.459311,0.025616,0.000,50,1
125,222,36420.520000,7692.880000,569.041764,425.044989,0.025039,0.000,50,0
130,227,38496.200000,8097.520000,574.592599,430.278553,0.025248,0.000,50,0
135,232,36759.142857,7609.693878,570.518658,426.160977,0.024019,0.000,50,1
140,237,38185.387755,7942.755102,573.737575,428.058991,0.028757,0.000,50,1
145,242,37426.416667,7812.083333,571.519425,426.522284,0.025448,0.000,50,2
150,247,37173.510204,7440.102041,570.884792,422.705521,0.028206,0.000,50,1
155,252,36725.836735,7519.530612,570.267902,424.542991,0.026618,0.000,50,1
160,257,38000.280000,7706.760000,573.977950,426.432286,0.029029,0.000,50,0
165,262,37996.653061,7567.469388,574.057413,424.848985,0.028772,0.000,50,1
170,267,37932.285714,7676.938776,573.281650,426.917881,0.028207,0.000,50,1
175,272,37411.960000,7445.880000,571.924745,421.964755,0.031325,0.000,50,0
180,277,36825.920000,7292.120000,570.435444,421.637100,0.030550,0.000,50,0
185,282,36496.480000,7204.200000,569.373351,420.245016,0.030679,0.000,50,0
190,287,38286.840000,7363.720000,574.595770,422.953900,0.032009,0.000,50,0
195,292,37924.653061,7390.795918,573.856672,423.854522,0.032285,0.000,50,1
200,297,37628.360000,7287.080000,572.055941,421.475964,0.031912,0.000,50,0
205,302,38035.551020,7353.469388,573.984627,422.146716,0.033404,0.000,50,1
