# sweep_config: n_min=3 n_max=150 step=5 ninstances=50 R=100 pH2=0.5 seed_base=17
nvertices,total_edges,avg_domain_before,avg_domain_after,avg_log_domain_before,avg_log_domain_after,avg_presolve_runtime_sec,solved_fraction,n_instances,n_errors
3,3,517.520000,214.320000,19.182255,15.968949,0.111997,0.000,50,0
8,13,3126.200000,1193.360000,74.296892,61.894816,0.001260,0.000,50,0
13,23,6689.360000,2495.160000,132.205462,110.547285,0.001429,0.000,50,0
18,33,9980.360000,3671.360000,189.058461,157.098685,0.005038,0.000,50,0
23,43,13890.720000,5191.520000,248.177850,208.154876,0.003027,0.000,50,0
28,53,17987.040000,6731.960000,307.522049,258.690812,0.004175,0.000,50,0
33,63,21375.360000,8034.340000,364.322117,305.524642,0.006242,0.000,50,0
38,73,25613.720000,9447.640000,423.943618,355.044927,0.007808,0.000,50,0
43,83,30835.918367,11387.428571,487.231853,409.067366,0.008996,0.000,50,1
48,93,35077.306122,12972.061224,546.315262,457.547855,0.012159,0.000,50,1
53,103,40204.800000,14918.480000,608.455410,511.200084,0.014203,0.000,50,0
58,113,45955.760000,17177.280000,672.178175,566.679706,0.018614,0.000,50,0
63,123,51134.120000,18737.040000,734.759463,617.451541,0.021190,0.000,50,0
68,133,52657.673469,19519.346939,786.143164,660.433198,0.022900,0.000,50,1
73,143,59519.080000,22106.040000,853.161000,718.586257,0.025733,0.000,50,0
78,153,64175.714286,23445.448980,914.254531,766.624727,0.033156,0.000,50,1
83,163,70390.560000,26335.500000,978.785543,826.953371,0.035606,0.000,50,0
88,173,76201.959184,28197.244898,1041.352882,877.866201,0.042368,0.000,50,1
93,183,80843.480000,29809.140000,1102.797341,928.642439,0.044362,0.000,50,0
98,193,85988.897959,30925.326531,1163.365468,975.078279,0.056182,0.000,50,1
103,203,92888.583333,35046.604167,1229.679644,1041.522832,0.057402,0.000,50,2
108,213,93373.446809,34767.595745,1280.753090,1079.939310,0.065536,0.000,50,3
113,223,102078.160000,37222.860000,1350.945416,1136.065251,0.076788,0.000,50,0
118,233,106725.755102,39044.387755,1411.725037,1187.130265,0.082276,0.000,50,1
123,243,112877.040000,41444.420000,1476.200379,1244.169358,0.095188,0.000,50,0
128,253,120176.382979,44339.702128,1542.863315,1300.816391,0.111397,0.000,50,3
133,263,121841.440000,44761.560000,1596.029072,1343.484791,0.112811,0.000,50,0
138,273,129312.416667,47505.770833,1664.590951,1401.784284,0.132403,0.000,50,2
143,283,135192.875000,49693.312500,1726.809325,1454.822715,0.141630,0.000,50,2
148,293,140600.978723,50904.851064,1789.049856,1502.960168,0.164624,0.000,50,3
150,297,141256.120000,51048.520000,1809.377574,1516.897745,0.158186,0.000,50,0
