# sweep_config: nvars=100 ninstances=50 step=10 max_constraints=500 seed_base=19 density=0.5
m,avg_domain_before,avg_domain_after,avg_log_domain_before,avg_log_domain_after,avg_presolve_runtime_sec,solved_fraction,n_instances,n_errors
10,10100.000000,10100.000000,461.512052,461.512052,0.104559,0.000,50,0
20,10100.000000,10100.000000,461.512052,461.512052,0.010239,0.000,50,0
30,10100.000000,10100.000000,461.512052,461.512052,0.016553,0.000,50,0
40,10100.000000,10100.000000,461.512052,461.512052,0.021794,0.000,50,0
50,10100.000000,10100.000000,461.512052,461.512052,0.034269,0.000,50,0
60,10100.000000,10100.000000,461.512052,461.512052,0.032433,0.000,50,0
70,10100.000000,10100.000000,461.512052,461.512052,0.037873,0.000,50,0
80,10100.000000,10098.040000,461.512052,461.498583,0.039550,0.000,50,0
90,10100.000000,4997.700000,461.512052,391.398285,0.067092,0.000,50,0
100,10100.000000,1449.918367,461.512052,266.863651,0.150253,0.000,50,1
110,10100.000000,1302.000000,461.512052,257.188083,0.128352,0.000,50,0
120,10100.000000,1302.000000,461.512052,257.188083,0.136285,0.000,50,0
130,10100.000000,1302.000000,461.512052,257.188083,0.153378,0.000,50,0
140,10100.000000,1302.000000,461.512052,257.188083,0.160159,0.000,50,0
150,10100.000000,1301.800000,461.512052,257.177184,0.176487,0.000,50,0
160,10100.000000,1289.760000,461.512052,256.042075,0.192540,0.000,50,0
170,10100.000000,1249.680000,461.512052,252.434218,0.215826,0.000,50,0
180,10100.000000,1120.980000,461.512052,241.148192,0.292383,0.000,50,0
190,10100.000000,1087.140000,461.512052,236.965295,0.305443,0.000,50,0
200,10100.000000,878.900000,461.512052,214.914642,0.321053,0.000,50,0
210,10100.000000,751.820000,461.512052,201.331927,0.347817,0.000,50,0
220,10100.000000,718.700000,461.512052,197.725969,0.352837,0.000,50,0
230,10100.000000,697.780000,461.512052,195.018492,0.390588,0.000,50,0
240,10100.000000,697.700000,461.512052,195.029251,0.392707,0.000,50,0
250,10100.000000,698.740000,461.512052,195.166477,0.426704,0.000,50,0
260,10100.000000,698.380000,461.512052,195.110982,0.434888,0.000,50,0
270,10100.000000,698.260000,461.512052,195.092484,0.446307,0.000,50,0
280,10100.000000,698.240000,461.512052,195.093212,0.478797,0.000,50,0
290,10100.000000,697.720000,461.512052,195.013053,0.496853,0.000,50,0
300,10100.000000,697.500000,461.512052,194.984818,0.507130,0.000,50,0
310,10100.000000,691.640000,461.512052,193.881608,0.547741,0.000,50,0
320,10100.000000,693.400000,461.512052,194.430241,0.586639,0.000,50,0
330,10100.000000,677.340000,461.512052,191.388850,0.612939,0.000,50,0
340,10100.000000,674.380000,461.512052,190.903597,0.625478,0.000,50,0
350,10100.000000,666.120000,461.512052,189.579878,0.663530,0.000,50,0
360,10100.000000,620.980000,461.512052,180.947100,0.712118,0.000,50,0
370,10100.000000,585.320000,461.512052,175.087319,0.854214,0.000,50,0
380,10100.000000,600.740000,461.512052,178.071666,0.852400,0.000,50,0
390,10100.000000,526.140000,461.512052,163.573107,0.882491,0.000,50,0
400,10100.000000,476.340000,461.512052,154.368819,0.951805,0.000,50,0
410,10100.000000,473.860000,461.512052,153.709500,0.996821,0.000,50,0
420,10100.000000,468.540000,461.512052,152.634602,1.028715,0.000,50,0
430,10100.000000,428.900000,461.512052,144.783720,1.047865,0.000,50,0
440,10100.000000,411.180000,461.512052,141.220247,1.074418,0.000,50,0
450,10100.000000,407.160000,461.512052,140.528746,1.113861,0.000,50,0
460,10100.000000,412.520000,461.512052,141.482360,1.126129,0.000,50,0
470,10100.000000,410.380000,461.512052,141.081663,1.158484,0.000,50,0
480,10100.000000,402.620000,461.512052,139.529532,1.165535,0.000,50,0
490,10100.000000,406.760000,461.512052,140.372302,1.156787,0.000,50,0
500,10100.000000,407.500000,461.512052,140.485907,1.160255,0.000,50,0
