# sweep_config: nvars=100 ninstances=50 step=10 max_constraints=500 seed_base=19 density=0.05
m,avg_domain_before,avg_domain_after,avg_log_domain_before,avg_log_domain_after,avg_presolve_runtime_sec,solved_fraction,n_instances,n_errors
10,10100.000000,9769.640000,461.512052,458.575153,0.103953,0.000,50,0
20,10100.000000,9438.320000,461.512052,455.533885,0.009339,0.000,50,0
30,10100.000000,9113.180000,461.512052,452.336765,0.013798,0.000,50,0
40,10100.000000,8708.920000,461.512052,448.377499,0.021640,0.000,50,0
50,10100.000000,8381.540000,461.512052,444.437130,0.028268,0.000,50,0
60,10100.000000,7963.580000,461.512052,439.607460,0.034832,0.000,50,0
70,10100.000000,7641.100000,461.512052,435.309037,0.042594,0.000,50,0
80,10100.000000,6952.380000,461.512052,426.227144,0.056632,0.000,50,0
90,10100.000000,6238.880000,461.512052,415.138843,0.067591,0.000,50,0
100,10100.000000,1785.395349,461.512052,275.381737,0.121190,0.000,50,7
110,10100.000000,1302.000000,461.512052,257.188083,0.098539,0.000,50,0
120,10100.000000,1302.000000,461.512052,257.188083,0.107538,0.000,50,0
130,10100.000000,1302.000000,461.512052,257.188083,0.120025,0.000,50,0
140,10100.000000,1302.000000,461.512052,257.188083,0.128893,0.000,50,0
150,10100.000000,1295.200000,461.512052,256.759114,0.143034,0.000,50,0
160,10100.000000,1267.260000,461.512052,254.477029,0.166488,0.000,50,0
170,10100.000000,1173.240000,461.512052,245.720719,0.205818,0.000,50,0
180,10100.000000,940.640000,461.512052,222.365152,0.237805,0.000,50,0
190,10100.000000,799.200000,461.512052,207.241334,0.258136,0.000,50,0
200,10100.000000,755.160000,461.512052,201.598738,0.250653,0.000,50,0
210,10100.000000,709.000000,461.512052,196.397223,0.255711,0.000,50,0
220,10100.000000,698.040000,461.512052,195.058571,0.268386,0.000,50,0
230,10100.000000,698.380000,461.512052,195.110982,0.279320,0.000,50,0
240,10100.000000,698.060000,461.512052,195.061654,0.292573,0.000,50,0
250,10100.000000,698.720000,461.512052,195.163394,0.312360,0.000,50,0
260,10100.000000,698.100000,461.512052,195.067820,0.328101,0.000,50,0
270,10100.000000,697.760000,461.512052,195.019219,0.337040,0.000,50,0
280,10100.000000,697.360000,461.512052,194.963237,0.354736,0.000,50,0
290,10100.000000,698.040000,461.512052,195.067332,0.367956,0.000,50,0
300,10100.000000,696.140000,461.512052,194.802365,0.399582,0.000,50,0
310,10100.000000,670.120000,461.512052,190.069177,0.430968,0.000,50,0
320,10100.000000,668.160000,461.512052,189.732583,0.445438,0.000,50,0
330,10100.000000,666.720000,461.512052,189.732902,0.482560,0.000,50,0
340,10100.000000,638.460000,461.512052,184.858637,0.555723,0.000,50,0
350,10100.000000,605.080000,461.512052,178.873551,0.590094,0.000,50,0
360,10100.000000,565.600000,461.512052,171.442477,0.644810,0.000,50,0
370,10100.000000,511.940000,461.512052,160.879252,0.665576,0.000,50,0
380,10100.000000,512.440000,461.512052,160.910851,0.668990,0.000,50,0
390,10100.000000,453.860000,461.512052,149.746286,0.716482,0.000,50,0
400,10100.000000,429.800000,461.512052,144.965575,0.738136,0.000,50,0
410,10100.000000,435.020000,461.512052,146.019109,0.751793,0.000,50,0
420,10100.000000,410.040000,461.512052,141.094690,0.778380,0.000,50,0
430,10100.000000,413.040000,461.512052,141.604478,0.793320,0.000,50,0
440,10100.000000,400.240000,461.512052,139.060822,0.804275,0.000,50,0
450,10100.000000,400.140000,461.512052,139.106385,0.824666,0.000,50,0
460,10100.000000,404.900000,461.512052,139.931782,0.842272,0.000,50,0
470,10100.000000,403.320000,461.512052,139.767092,0.862178,0.000,50,0
480,10100.000000,404.980000,461.512052,139.999371,0.885378,0.000,50,0
490,10100.000000,400.900000,461.512052,139.215637,0.904430,0.000,50,0
500,10100.000000,400.460000,461.512052,139.072763,0.929071,0.000,50,0
